model,accuracy,precision,recall,f1
Logistic Regression,0.9714229013693193,0.9725675096442349,0.9659429544487016,0.9692439128577531
Decision Tree,0.9956340543758683,0.9953171562366965,0.9953171562366965,0.9953171562366965
Random Forest,0.9978170271879341,0.9995726495726496,0.9957428693060877,0.9976540840264448
